### -- Clover 0:
0	0	 0.00000000
0	1	 0.00067642
0	2	 0.00089128
0	3	 0.00045976
1	0	 0.00045916
1	1	 0.00000000
1	2	-0.00058456
1	3	 0.00044347
2	0	 0.00054436
2	1	 0.00060313
2	2	 0.00000000
2	3	 0.00084533
3	0	 0.00040552
3	1	 0.00056552
3	2	 0.00057044
3	3	 0.00000000
### -- Clover 1:
0	0	 0.00000000
0	1	 0.00101449
0	2	 0.00079060
0	3	 0.00000000
1	0	 0.00066183
1	1	 0.00000000
1	2	-0.00066926
1	3	 0.00000000
2	0	 0.00095276
2	1	 0.00042099
2	2	 0.00000000
2	3	 0.00000000
3	0	 0.00000000
3	1	 0.00000000
3	2	 0.00000000
3	3	 0.00000000
### -- Clover 2:
0	0	 0.00000000
0	1	 0.00025685
0	2	 0.00050215
0	3	 0.00037503
1	0	 0.00033470
1	1	 0.00000000
1	2	 0.00017026
1	3	 0.00036622
2	0	 0.00068115
2	1	 0.00052029
2	2	 0.00000000
2	3	 0.00067706
3	0	 0.00037483
3	1	 0.00007610
3	2	 0.00036151
3	3	 0.00000000
### -- Clover 3:
0	0	 0.00000000
0	1	 0.00025458
0	2	 0.00001691
0	3	-0.00007184
1	0	 0.00041316
1	1	 0.00000000
1	2	-0.00165314
1	3	 0.00024843
2	0	 0.00049092
2	1	 0.00037430
2	2	 0.00000000
2	3	 0.00046066
3	0	 0.00029243
3	1	 0.00027670
3	2	 0.00027880
3	3	 0.00000000
### -- Clover 4:
0	0	 0.00000000
0	1	 0.00000000
0	2	 0.00000000
0	3	 0.00000000
1	0	 0.00000000
1	1	 0.00000000
1	2	 0.00000000
1	3	 0.00000000
2	0	 0.00000000
2	1	 0.00000000
2	2	 0.00000000
2	3	 0.00000000
3	0	 0.00000000
3	1	 0.00000000
3	2	 0.00000000
3	3	 0.00000000
### -- Clover 5:
0	0	 0.00000000
0	1	 0.00063558
0	2	 0.00053833
0	3	 0.00051940
1	0	 0.00029156
1	1	 0.00000000
1	2	 0.00016885
1	3	 0.00025695
2	0	 0.00042113
2	1	 0.00053287
2	2	 0.00000000
2	3	 0.00048525
3	0	 0.00048306
3	1	 0.00035546
3	2	 0.00049132
3	3	 0.00000000
### -- Clover 6:
0	0	 0.00000000
0	1	 0.00063423
0	2	 0.00066507
0	3	 0.00084785
1	0	 0.00023926
1	1	 0.00000000
1	2	 0.00054183
1	3	 0.00011944
2	0	 0.00060855
2	1	 0.00060502
2	2	 0.00000000
2	3	 0.00065322
3	0	 0.00057263
3	1	 0.00044017
3	2	 0.00066798
3	3	 0.00000000
### -- Clover 7:
0	0	 0.00000000
